1	40	50	0	1236
2	45	68	912	967
3	45	70	825	870
4	42	66	65	146
5	42	68	727	782
6	42	65	15	67
7	40	69	621	702
8	40	66	170	225
9	38	68	255	324
10	38	70	534	605
11	35	66	357	410
12	35	69	448	505
13	25	85	652	721
14	22	75	30	92
15	22	85	567	620
16	20	80	384	429
17	20	85	475	528
18	18	75	99	148
19	15	75	179	254
20	15	80	278	345
21	30	50	10	73
22	30	52	914	965
23	28	52	812	883
24	28	55	732	777
25	25	50	65	144
26	25	52	169	224
27	25	55	622	701
28	23	52	261	316
29	23	55	546	593
30	20	50	358	405
31	20	55	449	504
32	10	35	200	237
33	10	40	31	100
34	8	40	87	158
35	8	45	751	816
36	5	35	283	344
37	5	45	665	716
38	2	40	383	434
39	0	40	479	522
40	0	45	567	624
41	35	30	264	321
42	35	32	166	235
43	33	32	68	149
44	33	35	16	80
45	32	30	359	412
46	30	30	541	600
47	30	32	448	509
